State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000
Alaska,59528,0,0,948,8137,309,null,null,3,42,129.6,0.4
Alabama,513138,399818,113320,3090,10465,10504,8280,2224,113,214,63,2.3
Arkansas,329511,0,0,1466,10919,5571,null,null,56,184,48.6,1.9
American Samoa,4,0,0,0,7,0,null,null,0,0,0,0
Arizona,837987,779178,58809,3380,11513,16874,14940,1934,229,231,46.4,3.2
California,3553307,0,0,17773,8993,57091,null,null,1296,144,45,3.3
Colorado,454893,427289,27604,8313,7899,6082,5356,726,22,105,144.4,0.4
Connecticut,303510,280937,22573,8026,8513,7862,6462,1400,40,220,225.1,1.1
District of Columbia,43669,0,0,777,6188,1053,null,null,7,149,110.1,1
Delaware,93038,87755,5283,1613,9554,1536,1398,138,19,157,165.7,2
Florida,1989922,0,0,32608,9265,32957,null,null,359,153,151.8,1.7
Federated States of Micronesia,1,1,0,0,1,0,null,null,0,0,0,0
Georgia,1051361,846745,204616,10544,9902,18751,16336,2415,331,176,99.3,3.1
Guam,7796,0,0,16,4703,134,null,null,0,80,9.7,0
Hawaii,28160,0,0,535,1989,455,null,null,7,32,37.8,0.5
Iowa,347872,0,0,3371,11026,5708,null,null,36,180,106.8,1.1
Idaho,178887,143872,35015,2085,10010,1954,1705,249,16,109,116.7,0.9
Illinois,1229898,1229898,0,13808,9706,23442,21171,2271,155,184,109,1.2
Indiana,680998,0,0,5610,10116,12982,12576,406,75,192,83.3,1.1
Kansas,300927,243455,57472,2023,10329,4881,null,null,44,167,69.4,1.5
Kentucky,423414,322752,100662,4265,9477,5970,5408,562,466,133,95.5,10.4
Louisiana,442620,0,0,3077,9521,10073,9251,822,99,216,66.2,2.1
Massachusetts,596194,586298,9896,12163,8650,16879,16671,208,245,244,176.5,3.6
Maryland,403982,0,0,6084,6682,8217,8032,185,85,135,100.6,1.4
Maine,49444,38058,11386,1372,3678,731,708,23,3,54,102.1,0.2
Michigan,712393,642869,69524,28995,7133,17003,15984,1019,160,170,290.3,1.6
Minnesota,510398,0,0,8940,9050,6892,6440,452,62,122,158.5,1.1
Missouri,574417,0,0,4922,9359,8438,null,null,70,137,80.2,1.1
Northern Mariana Islands,159,159,0,2,0,2,2,0,0,3,0,0
Mississippi,304210,186922,117288,1894,10222,6998,4855,2143,53,235,63.6,1.8
Montana,103830,96711,7119,1214,9715,1435,1435,0,29,134,113.6,2.7
North Carolina,905528,783358,122170,14214,8634,12028,10623,1405,245,114,135.5,2.3
North Dakota,102382,96164,6218,868,13435,1466,null,null,6,192,113.9,0.8
Nebraska,207667,0,0,1853,10735,2175,null,null,42,112,95.8,2.2
New Hampshire,82039,0,0,2337,6034,1229,null,null,22,90,171.9,1.6
New Jersey,881882,777521,104361,28533,9929,24330,21795,2535,254,273,321.2,2.9
New Mexico,190491,0,0,1333,9085,3916,null,null,39,186,63.6,1.9
Nevada,302171,0,0,1756,9810,5215,null,null,58,169,57,1.9
New York,1002364,0,0,24909,9067,18653,null,null,153,168,225.3,1.4
New York City,826870,688463,138407,35325,9845,30900,25861,5039,380,367,420.6,4.5
Ohio,1006171,854450,151721,10386,8608,18388,18388,0,274,157,88.9,2.3
Oklahoma,436914,345981,90933,2839,11042,4923,4307,616,93,124,71.8,2.4
Oregon,162806,162806,0,2184,3860,2370,2370,0,17,56,51.8,0.4
Pennsylvania,1000240,853113,147127,23393,7813,24917,null,null,211,194,182.7,1.7
Puerto Rico,105226,96443,8783,1547,3295,2106,1793,313,17,65,48.4,0.5
Palau,0,0,0,0,0,0,null,null,0,0,0,0
Rhode Island,135290,0,0,2674,12771,2607,null,null,13,246,252.4,1.2
Republic of Marshall Islands,4,4,0,0,7,0,null,null,0,0,0,0
South Carolina,544916,461287,83629,5382,10584,9087,null,null,56,176,104.5,1.1
South Dakota,116624,0,0,1421,13183,1927,1570,357,8,217,160.6,0.9
Tennessee,806011,669707,136304,9387,11802,11796,9480,2316,115,172,137.5,1.7
Texas,2759866,0,0,24055,9518,46868,null,null,791,161,83,2.7
Utah,383260,383260,0,2920,11955,2088,2030,58,47,65,91.1,1.5
Virginia,612063,479006,133057,9881,7171,10155,8515,1640,63,118,115.8,0.7
Virgin Islands,2877,0,0,58,2748,25,null,null,0,23,55.4,0
Vermont,18215,0,0,968,2919,223,null,null,6,35,155.1,1
Washington,358606,0,0,5699,4709,5213,null,null,45,68,74.8,0.6
Wisconsin,632123,574436,57687,4380,10857,7267,6599,668,59,124,75.2,1
West Virginia,139251,110585,28666,2535,7770,2624,null,null,54,146,141.5,3
Wyoming,55920,47322,8598,441,9662,695,695,0,2,120,76.2,0.4
United States of America,29903245,13696623,2058228,410192,9007,543975,271036,32124,7150,163,123.6,2.2
